0
77,08285599
150,4217493
216,5134385
272,3187591
315,4525816
344,3268939
358,2371143
357,3860558
342,8446784
316,4535065
280,6729785
238,3947022
192,7283221
146,7802603
103,4408691
65,19551911
33,97294656
11,04098728
-3,044093014
-8,432782015
-5,92449162
3,13674794
17,00309728
33,68769602
51,13942827
67,41335482
80,823359
90,06547784
94,30319843
93,20943727
86,96368632
76,20658374
61,95763264
45,50466747
28,27572648
11,70508017
-2,894778573
-14,4443327
-22,18243573
-25,71948789
-25,05503149
-20,55965546
-12,92426055
-3,082533936
7,885322371
18,85814974
28,77868987
36,74813729
42,10202588
44,4610562
43,75297157
40,20438729
34,30430933
26,74368674
18,33749164
9,93732234
2,343250606
-3,776471449
-7,950145376
-9,945732078
-9,788444889
-7,751475219
-4,321129828
-0,140149247
4,064909935
7,564807373
9,709023653
9,999168894
8,146897479
4,110326954
-1,894959384
-9,411774
-17,7828664
-26,21441608
-33,85553515
-39,88616647
-43,60479756
-44,50725068
-42,34848176
-37,18077559
-29,36383715
-19,54486388
-8,609509006
2,392547509
12,3411756
20,15026545
24,8735439
25,80174659
22,54162422
15,06862145
3,747216676
-10,68432438
-27,16488222
-44,39395027
-60,9414063
-75,37474459
-86,39301352
-92,95568526
-94,39467224
-90,49873046
-81,56148974
-68,38717985
-52,25155731
-34,81930041
-18,02291716
-3,911678825
5,518050402
8,497728645
3,652506801
-9,856003497
-32,22271873
-62,93799763
-100,7792614
-143,8580711
-189,7210569
-235,4987631
-278,0925153
-314,3861674
-341,4673121
-356,8414447
-358,6227607
-345,6867425
-317,7723534
-275,5253043
-220,4782191
-154,9682504
-81,99742461
