0
69,14116657
134,8678596
193,9890409
243,7441505
281,978638
307,2753162
319,0322887
317,4823349
303,6531267
279,2721588
246,6244375
208,3744558
167,3665251
126,4189378
88,12759959
54,6937044
27,78782419
8,459646168
-2,901220329
-6,552110638
-3,334763822
5,429860044
18,0794268
32,76843579
47,63321725
60,95002345
71,27352031
77,54501106
79,16257985
76,00877484
68,4351571
57,20670641
43,41238884
28,35088123
13,40229981
-0,102346889
-11,0024179
-18,40920379
-21,77941365
-20,95491308
-16,16618019
-8,000234474
2,663061738
14,73970019
27,04651208
38,41247101
47,78599888
54,32854783
57,48618266
57,03305966
53,08338328
46,07137358
36,70172456
25,87571135
14,60027326
3,888869842
-5,336447742
-12,332538
-16,60410746
-17,94776796
-16,46728142
-12,55879447
-6,867693503
-0,221373431
6,455533469
12,23528443
16,28145219
17,9345656
16,78069961
12,69634116
5,865076681
-3,235710115
-13,87711611
-25,14621036
-36,0325611
-45,52575971
-52,71477449
-56,87968012
-57,56689808
-54,64050226
-48,30427351
-39,09183791
-27,82516177
-15,54463524
-3,416687444
7,372912209
15,7304091
20,75977017
21,85272085
18,75429411
11,5971054
0,900261347
-12,46806424
-27,36206631
-42,45827791
-56,37584968
-67,8068375
-75,64498111
-79,10123227
-77,79509776
-71,8126547
-61,72473683
-48,56207177
-33,74780031
-18,99152249
-6,152474211
2,917659922
6,539706298
3,366069999
-7,479703465
-26,29529176
-52,73404246
-85,78849961
-123,8261922
-164,6767019
-205,764852
-244,2810146
-277,3763409
-302,3684538
-316,9419949
-319,3285025
-308,451425
-284,0245426
-246,595506
-197,5303229
-138,9391226
-73,54803278
