0
79,39249211
154,7741332
222,400733
279,0416106
322,1883781
350,210392
362,4457865
359,2220273
341,8053975
312,2843023
273,396316
228,3130998
180,4003511
132,9715838
89,05465458
51,18856621
21,26530799
0,42759883
-10,97130499
-13,34467965
-7,790311878
4,041931216
20,12041416
38,22467065
56,14429952
71,86715356
83,74154256
90,59980314
91,83421763
87,42056859
77,88921679
64,24809269
47,86601291
30,32793926
13,27592846
-1,749587297
-13,45395057
-20,9052586
-23,61428114
-21,57095132
-15,23508734
-5,483161073
6,483145155
19,25750144
31,36703304
41,4149673
48,21459674
50,90228838
49,0193187
42,55526074
31,94922183
18,04910337
2,032878237
-14,70068507
-30,66168363
-44,40715673
-54,67489791
-60,50076169
-61,30876921
-56,96582174
-47,7960689
-34,55365422
-18,35634317
-0,586087628
17,23442351
33,57800366
47,04961666
56,51101529
61,18203877
60,70935091
55,19635042
45,19150713
31,63615552
15,77646984
-0,952378873
-17,05932373
-31,13558791
-41,98526913
-48,73627236
-50,92127526
-48,52109538
-41,96622523
-32,09611017
-20,07962473
-7,3038046
4,759111796
14,69416375
21,28246933
23,62329966
21,22772048
14,07451857
2,622432959
-12,22339064
-29,1886499
-46,74472548
-63,2514257
-77,11518087
-86,94851887
-91,71616873
-90,85394742
-84,34863899
-72,77021843
-57,25175052
-39,41677648
-21,25860772
-4,980281591
7,192381805
13,2094784
11,39085786
0,598390058
-19,6287294
-48,98837458
-86,38854702
-129,983446
-177,2718297
-225,2518271
-270,6216227
-310,0114735
-340,2296679
-358,5035568
-362,6968037
-351,48554
-324,4790654
-282,2748642
-226,4427073
-159,4380686
-84,45056984
